,JDay,Sunrise,Sunset,Daylength
280,280,6.204583168,17.79541683,11.59083366
281,281,6.225097131,17.77490287,11.54980574
282,282,6.245580407,17.75441959,11.50883919
283,283,6.266029663,17.73397034,11.46794067
284,284,6.286441457,17.71355854,11.42711709
285,285,6.306812229,17.69318777,11.38637554
286,286,6.327138298,17.6728617,11.3457234
287,287,6.347415855,17.65258414,11.30516829
288,288,6.36764096,17.63235904,11.26471808
289,289,6.387809533,17.61219047,11.22438093
290,290,6.407917353,17.59208265,11.18416529
291,291,6.427960052,17.57203995,11.1440799
292,292,6.447933109,17.55206689,11.10413378
293,293,6.467831847,17.53216815,11.06433631
294,294,6.48765143,17.51234857,11.02469714
295,295,6.507386856,17.49261314,10.98522629
296,296,6.527032957,17.47296704,10.94593409
297,297,6.546584394,17.45341561,10.90683121
298,298,6.566035654,17.43396435,10.86792869
299,299,6.585381046,17.41461895,10.82923791
300,300,6.604614703,17.3953853,10.79077059
301,301,6.623730577,17.37626942,10.75253885
302,302,6.642722439,17.35727756,10.71455512
303,303,6.661583874,17.33841613,10.67683225
304,304,6.680308289,17.31969171,10.63938342
305,305,6.698888905,17.30111109,10.60222219
306,306,6.717318763,17.28268124,10.56536247
307,307,6.73559072,17.26440928,10.52881856
308,308,6.753697456,17.24630254,10.49260509
309,309,6.771631476,17.22836852,10.45673705
310,310,6.789385109,17.21061489,10.42122978
311,311,6.806950514,17.19304949,10.38609897
312,312,6.824319687,17.17568031,10.35136063
313,313,6.841484464,17.15851554,10.31703107
314,314,6.858436526,17.14156347,10.28312695
315,315,6.875167407,17.12483259,10.24966519
316,316,6.891668503,17.1083315,10.21666299
317,317,6.907931078,17.09206892,10.18413784
318,318,6.923946275,17.07605372,10.15210745
319,319,6.939705126,17.06029487,10.12058975
320,320,6.955198561,17.04480144,10.08960288
321,321,6.970417422,17.02958258,10.05916516
322,322,6.985352476,17.01464752,10.02929505
323,323,6.999994428,17.00000557,10.00001114
324,324,7.014333932,16.98566607,9.971332137
325,325,7.028361611,16.97163839,9.943276778
326,326,7.042068072,16.95793193,9.915863857
327,327,7.05544392,16.94455608,9.889112161
328,328,7.068479778,16.93152022,9.863040444
329,329,7.081166305,16.9188337,9.83766739
330,330,7.093494213,16.90650579,9.813011574
331,331,7.105454289,16.89454571,9.789091422
332,332,7.117037412,16.88296259,9.765925176
333,333,7.128234576,16.87176542,9.743530847
334,334,7.13903691,16.86096309,9.72192618
335,335,7.149435697,16.8505643,9.701128606
336,336,7.159422399,16.8405776,9.681155202
337,337,7.168988675,16.83101132,9.662022649
338,338,7.178126406,16.82187359,9.643747189
339,339,7.186827712,16.81317229,9.626344577
340,340,7.195084977,16.80491502,9.609830047
341,341,7.202890869,16.79710913,9.594218262
342,342,7.21023836,16.78976164,9.579523279
343,343,7.217120748,16.78287925,9.565758503
344,344,7.223531673,16.77646833,9.552936653
345,345,7.22946514,16.77053486,9.54106972
346,346,7.234915534,16.76508447,9.530168932
347,347,7.239877639,16.76012236,9.520244721
348,348,7.244346654,16.75565335,9.511306692
349,349,7.248318207,16.75168179,9.503363586
350,350,7.25178837,16.74821163,9.49642326
351,351,7.254753671,16.74524633,9.490492659
352,352,7.257211105,16.7427889,9.485577791
353,353,7.259158144,16.74084186,9.481683711
354,354,7.260592748,16.73940725,9.478814504
355,355,7.261513365,16.73848663,9.47697327
356,356,7.261918943,16.73808106,9.476162114
357,357,7.261808929,16.73819107,9.476382141
358,358,7.261183274,16.73881673,9.477633451
359,359,7.260042431,16.73995757,9.479915138
360,360,7.258387353,16.74161265,9.483225294
361,361,7.256219492,16.74378051,9.487561016
362,362,7.253540792,16.74645921,9.492918416
363,363,7.250353685,16.74964631,9.49929263
364,364,7.24666108,16.75333892,9.506677839
365,365,7.242466356,16.75753364,9.515067288
1,1,7.237773349,16.76222665,9.524453301
2,2,7.232586342,16.76741366,9.534827316
3,3,7.226910048,16.77308995,9.546179904
4,4,7.220749599,16.7792504,9.558500802
5,5,7.214110526,16.78588947,9.571778948
6,6,7.206998746,16.79300125,9.586002507
7,7,7.199420542,16.80057946,9.601158916
8,8,7.191382542,16.80861746,9.617234916
9,9,7.182891705,16.8171083,9.634216591
10,10,7.173955294,16.82604471,9.652089411
11,11,7.164580864,16.83541914,9.670838273
12,12,7.154776231,16.84522377,9.690447538
13,13,7.144549461,16.85545054,9.710901079
14,14,7.133908839,16.86609116,9.732182322
15,15,7.122862856,16.87713714,9.754274288
16,16,7.111420181,16.88857982,9.777159638
17,17,7.099589645,16.90041036,9.800820711
18,18,7.087380214,16.91261979,9.825239571
19,19,7.074800976,16.92519902,9.850398049
20,20,7.061861111,16.93813889,9.876277777
21,21,7.048569882,16.95143012,9.902860236
22,22,7.034936605,16.9650634,9.93012679
23,23,7.020970638,16.97902936,9.958058725
24,24,7.006681358,16.99331864,9.986637284
25,25,6.992078147,17.00792185,10.01584371
26,26,6.977170374,17.02282963,10.04565925
27,27,6.961967376,17.03803262,10.07606525
28,28,6.946478447,17.05352155,10.10704311
29,29,6.930712822,17.06928718,10.13857436
30,30,6.914679664,17.08532034,10.17064067
31,31,6.89838805,17.10161195,10.2032239
32,32,6.88184696,17.11815304,10.23630608
33,33,6.865065265,17.13493474,10.26986947
34,34,6.848051719,17.15194828,10.30389656
35,35,6.830814947,17.16918505,10.33837011
36,36,6.813363439,17.18663656,10.37327312
37,37,6.795705542,17.20429446,10.40858892
38,38,6.77784945,17.22215055,10.4443011
39,39,6.759803203,17.2401968,10.48039359
40,40,6.741574676,17.25842532,10.51685065
41,41,6.72317158,17.27682842,10.55365684
42,42,6.704601456,17.29539854,10.59079709
43,43,6.685871669,17.31412833,10.62825666
44,44,6.666989412,17.33301059,10.66602118
45,45,6.647961695,17.3520383,10.70407661
46,46,6.628795355,17.37120464,10.74240929
47,47,6.609497046,17.39050295,10.78100591
48,48,6.590073243,17.40992676,10.81985351
49,49,6.570530242,17.42946976,10.85893952
50,50,6.55087416,17.44912584,10.89825168
51,51,6.53111094,17.46888906,10.93777812
52,52,6.511246348,17.48875365,10.9775073
53,53,6.491285976,17.50871402,11.01742805
54,54,6.471235248,17.52876475,11.0575295
55,55,6.451099422,17.54890058,11.09780116
56,56,6.430883589,17.56911641,11.13823282
57,57,6.410592682,17.58940732,11.17881464
58,58,6.390231478,17.60976852,11.21953704
59,59,6.369804602,17.6301954,11.2603908
60,60,6.349316529,17.65068347,11.30136694
61,61,6.328771594,17.67122841,11.34245681
62,62,6.308173993,17.69182601,11.38365201
63,63,6.287527788,17.71247221,11.42494442
64,64,6.266836915,17.73316309,11.46632617
65,65,6.246105184,17.75389482,11.50778963
66,66,6.225336293,17.77466371,11.54932741
67,67,6.204533823,17.79546618,11.59093235
68,68,6.183701252,17.81629875,11.6325975
69,69,6.16284196,17.83715804,11.67431608
70,70,6.141959228,17.85804077,11.71608154
71,71,6.121056253,17.87894375,11.75788749
72,72,6.100136148,17.89986385,11.7997277
73,73,6.07920195,17.92079805,11.8415961
74,74,6.058256627,17.94174337,11.88348675
75,75,6.037303082,17.96269692,11.92539384
76,76,6.01634416,17.98365584,11.96731168
77,77,5.995382658,18.00461734,12.00923468
78,78,5.974421324,18.02557868,12.05115735
79,79,5.953462869,18.04653713,12.09307426
80,80,5.932509972,18.06749003,12.13498006
81,81,5.911565283,18.08843472,12.17686943
82,82,5.890631435,18.10936856,12.21873713
83,83,5.869711046,18.13028895,12.26057791
84,84,5.848806726,18.15119327,12.30238655
85,85,5.827921085,18.17207892,12.34415783
86,86,5.807056735,18.19294327,12.38588653
87,87,5.786216302,18.2137837,12.4275674
88,88,5.765402428,18.23459757,12.46919514
89,89,5.744617778,18.25538222,12.51076444
90,90,5.723865047,18.27613495,12.55226991
91,91,5.703146965,18.29685304,12.59370607
92,92,5.682466301,18.3175337,12.6350674
93,93,5.661825876,18.33817412,12.67634825
94,94,5.641228559,18.35877144,12.71754288
95,95,5.62067728,18.37932272,12.75864544
96,96,5.600175034,18.39982497,12.79964993
97,97,5.579724884,18.42027512,12.84055023
98,98,5.55932997,18.44067003,12.88134006
99,99,5.538993512,18.46100649,12.92201298
100,100,5.518718816,18.48128118,12.96256237
101,101,5.498509278,18.50149072,13.00298144
102,102,5.478368393,18.52163161,13.04326321
103,103,5.458299754,18.54170025,13.08340049
104,104,5.438307061,18.56169294,13.12338588
105,105,5.418394123,18.58160588,13.16321175
106,106,5.398564865,18.60143513,13.20287027
107,107,5.37882333,18.62117667,13.24235334
108,108,5.359173682,18.64082632,13.28165264
109,109,5.339620212,18.66037979,13.32075958
110,110,5.32016734,18.67983266,13.35966532
111,111,5.300819621,18.69918038,13.39836076
112,112,5.281581741,18.71841826,13.43683652
113,113,5.262458529,18.73754147,13.47508294
114,114,5.243454949,18.75654505,13.5130901
115,115,5.224576112,18.77542389,13.55084778
116,116,5.20582727,18.79417273,13.58834546
117,117,5.187213821,18.81278618,13.62557236
118,118,5.168741307,18.83125869,13.66251739
119,119,5.150415418,18.84958458,13.69916916
120,120,5.132241988,18.86775801,13.73551602
121,121,5.114226998,18.885773,13.771546
122,122,5.096376574,18.90362343,13.80724685
123,123,5.078696981,18.92130302,13.84260604
124,124,5.061194629,18.93880537,13.87761074
125,125,5.043876064,18.95612394,13.91224787
126,126,5.026747968,18.97325203,13.94650406
127,127,5.009817152,18.99018285,13.9803657
128,128,4.993090557,19.00690944,14.01381889
129,129,4.976575245,19.02342476,14.04684951
130,130,4.960278393,19.03972161,14.07944321
131,131,4.944207289,19.05579271,14.11158542
132,132,4.928369327,19.07163067,14.14326135
133,133,4.912771994,19.08722801,14.17445601
134,134,4.897422866,19.10257713,14.20515427
135,135,4.882329598,19.1176704,14.2353408
136,136,4.867499914,19.13250009,14.26500017
137,137,4.8529416,19.1470584,14.2941168
138,138,4.838662488,19.16133751,14.32267502
139,139,4.824670449,19.17532955,14.3506591
140,140,4.81097338,19.18902662,14.37805324
141,141,4.79757919,19.20242081,14.40484162
142,142,4.784495787,19.21550421,14.43100843
143,143,4.771731068,19.22826893,14.45653786
144,144,4.759292898,19.2407071,14.4814142
145,145,4.747189102,19.2528109,14.5056218
146,146,4.735427446,19.26457255,14.52914511
147,147,4.724015622,19.27598438,14.55196876
148,148,4.712961233,19.28703877,14.57407753
149,149,4.702271775,19.29772822,14.59545645
150,150,4.691954623,19.30804538,14.61609075
151,151,4.682017013,19.31798299,14.63596597
152,152,4.672466023,19.32753398,14.65506795
153,153,4.663308561,19.33669144,14.67338288
154,154,4.654551344,19.34544866,14.69089731
155,155,4.646200884,19.35379912,14.70759823
156,156,4.638263469,19.36173653,14.72347306
157,157,4.630745148,19.36925485,14.7385097
158,158,4.623651716,19.37634828,14.75269657
159,159,4.616988695,19.3830113,14.76602261
160,160,4.610761323,19.38923868,14.77847735
161,161,4.604974537,19.39502546,14.79005093
162,162,4.599632958,19.40036704,14.80073408
163,163,4.594740882,19.40525912,14.81051824
164,164,4.590302263,19.40969774,14.81939547
165,165,4.586320704,19.4136793,14.82735859
166,166,4.582799444,19.41720056,14.83440111
167,167,4.579741351,19.42025865,14.8405173
168,168,4.577148912,19.42285109,14.84570218
169,169,4.575024225,19.42497577,14.84995155
170,170,4.573368994,19.42663101,14.85326201
171,171,4.572184522,19.42781548,14.85563096
172,172,4.571471708,19.42852829,14.85705658
173,173,4.571231044,19.42876896,14.85753791