Pop,Cohort,Bench,Position,Envelope 1 Biomass (g),Envelope 2 Biomass (g),Envelope 3 Biomass (g),Below Ground Biomass (g) STTO-BH,Notes 
CAAN2,blank,1,G11,,,,,
CAAM,cohort 1,1,A03,,,,,
CAAM,cohort 1,1,A05,0.0407,,,,
CAAM,cohort 1,1,B12,0.0058,,,,
CAAM,cohort 1,1,E01,0.034,,,, 
CAAM,cohort 1,1,F04,0.0633,,,,
CAAM,cohort 1,1,F06,0.0468,,,,
CAAM,cohort 2,1,B02,0.0261,,,,
CAAM,cohort 2,1,D04,0.0451,,,,
CAAM,cohort 2,1,F08,0.0171,,,,
CAAM,cohort 2,1,F14,0.0183,0.0023,,,
CAAM,cohort 2,1,G03,0.0159,,,,
CAAM,cohort 2,1,G07,0.0226,,,,
CAAM,cohort 3,1,A11,0.0128,,,,
CAAM,cohort 3,1,B08,0.013,,,,
CAAM,cohort 3,1,C11,0.0064,,,,
CAAM,cohort 3,1,D06,0.0126,,,,
CAAM,cohort 3,1,D08,,,,,NO PLANT
CAAM,cohort 3,1,D10,,,,,NO PLANT
CAAM,cohort 4,1,A13,,,,,NO PLANT
CAAM,cohort 4,1,B04,,,,,NO PLANT
CAAM,cohort 4,1,C13,,,,,NO PLANT
CAAM,cohort 4,1,E07,0.0104,,,,
CAAM,cohort 4,1,E11,0.0114,,,,
CAAM,cohort 4,1,G11,0.0047,,,,
CAAM,cohort 5,1,A07,0.0279,,,,
CAAM,cohort 5,1,A09,0.0259,,,,
CAAM,cohort 5,1,C05,0.017,,,,
CAAM,cohort 5,1,C07,0.0164,,,,
CAAM,cohort 5,1,E09,0.0395,,,,
CAAM,cohort 5,1,G09,0.0246,,,,
CAAM,cohort 6,1,A01,0.0088,,,,
CAAM,cohort 6,1,B10,0.0247,,,,
CAAM,cohort 6,1,B14,0.0106,,,,
CAAM,cohort 6,1,D02,,,,,NO PLANT
CAAM,cohort 6,1,E05,,,,,NO PLANT
CAAM,cohort 6,1,G05,,,,,NO PLANT
CAAM,cohort 7,1,B06,0.0026,,,,
CAAM,cohort 7,1,C03,,,,,
CAAM,cohort 7,1,C09,,,,,
CAAM,cohort 7,1,E03,,,,,NO PLANT
CAAM,cohort 7,1,E13,,,,,NO PLANT
CAAM,cohort 7,1,G01,,,,,NO PLANT
CAAM,cohort 8,1,C01,0.0051,,,,
CAAM,cohort 8,1,D14,,,,,NO PLANT
CAAM,cohort 8,1,F02,,,,,NO PLANT
CAAM,cohort 8,1,F10,,,,,NO PLANT
CAAM,cohort 8,1,F12,,,,,NO PLANT
CAAM,cohort 8,1,G13,,,,,NO PLANT
STIN,blank,1,D12,,,,,
CAAM,cohort 1,2,A03,0.0286,,,,
CAAM,cohort 1,2,A07,0.037,,,,
CAAM,cohort 1,2,B02,0.039,,,, 
CAAM,cohort 1,2,C07,0.0774,,,,
CAAM,cohort 1,2,C11,0.0359,,,,
CAAM,cohort 1,2,D08,0.034,,,,
CAAM,cohort 2,2,A13,0.0076,,,,
CAAM,cohort 2,2,B04,0.017,,,,
CAAM,cohort 2,2,C03,0.0416,,,,
CAAM,cohort 2,2,D14,0.0129,,,,
CAAM,cohort 2,2,F10,,,,,
CAAM,cohort 2,2,G07,0.0112,,,,
CAAM,cohort 3,2,A01,0.0011,,,,
CAAM,cohort 3,2,A05,0.0073,,,,
CAAM,cohort 3,2,B10,0.0069,,,,
CAAM,cohort 3,2,D04,0.0081,,,,
CAAM,cohort 3,2,G01,,,,,NO PLANT
CAAM,cohort 3,2,G09,,,,,NO PLANT
CAAM,cohort 4,2,B06,0.0075,,,,
CAAM,cohort 4,2,C01,0.0135,,,,
CAAM,cohort 4,2,D06,0.0105,,,,
CAAM,cohort 4,2,E05,0.02,,,,
CAAM,cohort 4,2,E09,,,,,NO PLANT
CAAM,cohort 4,2,G13,,,,,NO PLANT
CAAM,cohort 5,2,C09,0.036,,,,
CAAM,cohort 5,2,D02,0.0367,,,,
CAAM,cohort 5,2,D10,0.0306,,,,
CAAM,cohort 5,2,F12,0.0178,,,,
CAAM,cohort 5,2,G03,0.0101,,,,
CAAM,cohort 5,2,G05,0.0138,,,,
CAAM,cohort 6,2,A11,0.133,,,,
CAAM,cohort 6,2,B14,0.015,,,,
CAAM,cohort 6,2,E03,0.0074,,,,
CAAM,cohort 6,2,E11,,,,,NO PLANT
CAAM,cohort 6,2,F04,0.0235,,,,
CAAM,cohort 6,2,G11,,,,,NO PLANT
CAAM,cohort 7,2,A09,0.0042,,,,
CAAM,cohort 7,2,B08,0.0045,,,,
CAAM,cohort 7,2,C13,,,,,NO PLANT
CAAM,cohort 7,2,E13,,,,,NO PLANT
CAAM,cohort 7,2,F06,,,,,NO PLANT
CAAM,cohort 7,2,F08,,,,,NO PLANT
CAAM,cohort 8,2,B12,0.0043,,,,
CAAM,cohort 8,2,C05,,,,,NO PLANT
CAAM,cohort 8,2,D12,,,,,NO PLANT
CAAM,cohort 8,2,E01,,,,,NO PLANT
CAAM,cohort 8,2,F02,,,,,NO PLANT
CAAM,cohort 8,2,F14,,,,,NO PLANT
STPO,blank,1,B06,,,,,
CAAM,cohort 1,3,A01,0.0168,,,,
CAAM,cohort 1,3,A05,0.0263,,,,
CAAM,cohort 1,3,C05,0.0188,,,,
CAAM,cohort 1,3,D02,0.0663,,,,
CAAM,cohort 1,3,F10,,,,,NO PLANT
CAAM,cohort 1,3,G01,0.0549,,,,
CAAM,cohort 2,3,D10,0.0511,,,,
CAAM,cohort 2,3,D12,0.024,,,,
CAAM,cohort 2,3,D14,0.0118,,,,
CAAM,cohort 2,3,E11,0.0223,,,,
CAAM,cohort 2,3,F04,0.0308,,,,
CAAM,cohort 2,3,F14,0.0305,,,,
CAAM,cohort 3,3,A11,0.0081,,,,
CAAM,cohort 3,3,B04,0.0126,,,,
CAAM,cohort 3,3,B08,0.0095,,,,
CAAM,cohort 3,3,C01,0.0054,,,,
CAAM,cohort 3,3,D06,,,,,NO PLANT
CAAM,cohort 3,3,G09,,,,,NO PLANT
CAAM,cohort 4,3,A03,0.0129,,,,
CAAM,cohort 4,3,A13,,,,,NO PLANT
CAAM,cohort 4,3,B06,0.0212,,,,
CAAM,cohort 4,3,B14,0.0202,,,,
CAAM,cohort 4,3,C09,0.0204,,,,
CAAM,cohort 4,3,G03,,,,,NO PLANT
CAAM,cohort 5,3,B02,0.012,,,,
CAAM,cohort 5,3,C07,0.0272,,,,
CAAM,cohort 5,3,E03,0.0101,,,,
CAAM,cohort 5,3,E09,0.042,,,,
CAAM,cohort 5,3,E13,0.0344,,,,
CAAM,cohort 5,3,F06,0.0272,,,,
CAAM,cohort 6,3,C03,0.0168,,,,
CAAM,cohort 6,3,C13,0.0111,,,,
CAAM,cohort 6,3,F08,0.0159,,,,
CAAM,cohort 6,3,F12,0.0348,,,,
CAAM,cohort 6,3,G05,,,,,NO PLANT
CAAM,cohort 6,3,G07,,,,,NO PLANT
CAAM,cohort 7,3,A07,0.0053,,,,
CAAM,cohort 7,3,B10,0.0157,,,,
CAAM,cohort 7,3,B12,,,,,NO PLANT
CAAM,cohort 7,3,C11,,,,,NO PLANT
CAAM,cohort 7,3,D08,,,,,NO PLANT
CAAM,cohort 7,3,E07,,,,,NO PLANT
CAAM,cohort 8,3,A09,0.0056,,,,
CAAM,cohort 8,3,D04,0.0103,,,,
CAAM,cohort 8,3,E05,,,,,NO PLANT
CAAM,cohort 8,3,F02,,,,,NO PLANT
CAAM,cohort 8,3,G11,,,,,NO PLANT
CAAM,cohort 8,3,G13,,,,,NO PLANT
STGL1,blank,1,G07,,,,,
CAAM,cohort 1,4,A07,0.0508,,,,
CAAM,cohort 1,4,B02,0.0334,,,,
CAAM,cohort 1,4,D06,0.0344,,,,
CAAM,cohort 1,4,E13,0.0115,,,,
CAAM,cohort 1,4,G03,0.0569,,,,
CAAM,cohort 1,4,G05,0.0092,,,,
CAAM,cohort 2,4,A03,0.0358,,,,
CAAM,cohort 2,4,B12,0.023,,,,
CAAM,cohort 2,4,C01,0.0183,,,,
CAAM,cohort 2,4,D14,0.0212,,,,
CAAM,cohort 2,4,F04,0.0108,,,,
CAAM,cohort 2,4,F14,0.0156,,,,
CAAM,cohort 3,4,A09,0.0025,,,,
CAAM,cohort 3,4,B10,0.0107,,,,
CAAM,cohort 3,4,D04,0.0108,,,,
CAAM,cohort 3,4,E11,0.0076,,,,
CAAM,cohort 3,4,F08,,,,,NO PLANT
CAAM,cohort 3,4,G13,,,,,NO PLANT
CAAM,cohort 4,4,B06,0.0257,,,,
CAAM,cohort 4,4,C09,0.0198,,,,
CAAM,cohort 4,4,C11,,,,,NO PLANT
CAAM,cohort 4,4,D02,,,,,NO PLANT
CAAM,cohort 4,4,E01,0.0401,,,,
CAAM,cohort 4,4,F10,0.012,,,,
CAAM,cohort 5,4,A01,0.0471,,,,
CAAM,cohort 5,4,B14,0.0461,,,,
CAAM,cohort 5,4,C03,0.0105,,,,
CAAM,cohort 5,4,D12,0.0083,,,,
CAAM,cohort 5,4,E09,0.0355,,,,
CAAM,cohort 5,4,F12,,,,,NO PLANT
CAAM,cohort 6,4,B08,0.0104,,,,
CAAM,cohort 6,4,C05,0.0116,,,,
CAAM,cohort 6,4,C07,0.0119,,,,
CAAM,cohort 6,4,D08,0.0125,,,,
CAAM,cohort 6,4,D10,,,,,NO PLANT
CAAM,cohort 6,4,G07,,,,,NO PLANT
CAAM,cohort 7,4,A11,,,,,
CAAM,cohort 7,4,B04,0.0041,,,,
CAAM,cohort 7,4,C13,,,,,NO PLANT
CAAM,cohort 7,4,F02,,,,,NO PLANT
CAAM,cohort 7,4,F06,,,,,NO PLANT
CAAM,cohort 7,4,G01,,,,,NO PLANT
CAAM,cohort 8,4,A05,0.0072,,,,
CAAM,cohort 8,4,E03,0.0066,,,,
CAAM,cohort 8,4,E05,,,,,NO PLANT
CAAM,cohort 8,4,E07,,,,,NO PLANT
CAAM,cohort 8,4,G09,,,,,NO PLANT
CAAM,cohort 8,4,G11,,,,,NO PLANT
STDR2,blank,1,C07,,,,,
CAAN1,cohort 1,1,B12,0.0036,,,,
CAAN1,cohort 1,1,C05,0.0078,,,,
CAAN1,cohort 1,1,F02,0.0242,,,,
CAAN1,cohort 1,1,F10,0.0183,,,,
CAAN1,cohort 1,1,F12,0.0067,,,,
CAAN1,cohort 1,1,G03,0.0092,,,,
CAAN1,cohort 2,1,A09,0.0176,,,,
CAAN1,cohort 2,1,B10,,,,,NO PLANT
CAAN1,cohort 2,1,C01,,,,,NO PLANT
CAAN1,cohort 2,1,C09,,,,,NO PLANT
CAAN1,cohort 2,1,C11,0.0037,,,,
CAAN1,cohort 2,1,D06,,,,,NO PLANT
CAAN1,cohort 3,1,A05,0.0121,,,,
CAAN1,cohort 3,1,B04,0.0037,,,,
CAAN1,cohort 3,1,C07,0.0132,,,,
CAAN1,cohort 3,1,E07,0.0041,,,,
CAAN1,cohort 3,1,G01,,,,,NO PLANT
CAAN1,cohort 3,1,G07,,,,,NO PLANT
CAAN1,cohort 4,1,A07,0.0252,,,,
CAAN1,cohort 4,1,A13,0.013,,,,
CAAN1,cohort 4,1,D02,0.0132,,,,
CAAN1,cohort 4,1,E13,0.0089,,,,
CAAN1,cohort 4,1,G09,0.0065,,,,
CAAN1,cohort 4,1,G13,0.0051,,,,
CAAN1,cohort 5,1,B06,0.0037,,,,
CAAN1,cohort 5,1,C03,0.004,,,,
CAAN1,cohort 5,1,C13,0.0093,,,,
CAAN1,cohort 5,1,D04,0.0083,,,,
CAAN1,cohort 5,1,D12,0.0055,,,,
CAAN1,cohort 5,1,F06,,,,,NO PLANT
CAAN1,cohort 6,1,A01,0.0023,,,,
CAAN1,cohort 6,1,B02,0.0034,,,,
CAAN1,cohort 6,1,D08,0.0056,,,,
CAAN1,cohort 6,1,E01,0.0084,,,,
CAAN1,cohort 6,1,E05,,,,,NO PLANT
CAAN1,cohort 6,1,E11,,,,,NO PLANT
CAAN1,cohort 7,1,B08,,,,,
CAAN1,cohort 7,1,B14,,,,,
CAAN1,cohort 7,1,D10,,,,,NO PLANT
CAAN1,cohort 7,1,F04,,,,,NO PLANT
CAAN1,cohort 7,1,F14,,,,,NO PLANT
CAAN1,cohort 7,1,G05,,,,,NO PLANT
CAAN1,cohort 8,1,A03,,,,,NO PLANT
CAAN1,cohort 8,1,A11,,,,,NO PLANT
CAAN1,cohort 8,1,E03,,,,,NO PLANT
CAAN1,cohort 8,1,E09,,,,,NO PLANT
CAAN1,cohort 8,1,F08,,,,,NO PLANT
CAAN1,cohort 8,1,G11,,,,,NO PLANT
STTO_TM2,blank,1,E07,,,,,
CAAN1,cohort 1,2,A01,0.0258,,,,
CAAN1,cohort 1,2,C01,0.0051,,,,
CAAN1,cohort 1,2,C09,0.0031,,,,
CAAN1,cohort 1,2,D02,0.003,,,,
CAAN1,cohort 1,2,E09,0.0479,,,,
CAAN1,cohort 1,2,G09,0.0262,,,,
CAAN1,cohort 2,2,C05,0.0047,,,,
CAAN1,cohort 2,2,C07,,,,,NO PLANT
CAAN1,cohort 2,2,D06,,,,,NO PLANT
CAAN1,cohort 2,2,D10,,,,,NO PLANT
CAAN1,cohort 2,2,E03,0.0065,,,,
CAAN1,cohort 2,2,F06,0.0032,,,,
CAAN1,cohort 3,2,B02,0.0184,,,,
CAAN1,cohort 3,2,E13,0.0044,,,,
CAAN1,cohort 3,2,F02,0.0029,,,,
CAAN1,cohort 3,2,F10,0.011,,,,
CAAN1,cohort 3,2,G03,,,,,NO PLANT
CAAN1,cohort 3,2,G07,,,,,NO PLANT
CAAN1,cohort 4,2,A03,0.0141,,,,
CAAN1,cohort 4,2,A11,0.019,,,,
CAAN1,cohort 4,2,B06,0.0173,,,,
CAAN1,cohort 4,2,B08,0.0115,,,,
CAAN1,cohort 4,2,D08,0.0068,,,,
CAAN1,cohort 4,2,G13,0.0144,,,,
CAAN1,cohort 5,2,B12,,,,,
CAAN1,cohort 5,2,B14,0.0034,,,,
CAAN1,cohort 5,2,C11,0.0172,0.0047,,,
CAAN1,cohort 5,2,D14,0.0168,,,,
CAAN1,cohort 5,2,E11,,,,,NO PLANT
CAAN1,cohort 5,2,F08,,,,,NO PLANT
CAAN1,cohort 6,2,A05,0.0024,,,,
CAAN1,cohort 6,2,A07,0.0037,,,,
CAAN1,cohort 6,2,C03,,,,,
CAAN1,cohort 6,2,D12,0.0046,,,,
CAAN1,cohort 6,2,E05,,,,,NO PLANT
CAAN1,cohort 6,2,G05,,,,,NO PLANT
CAAN1,cohort 7,2,A09,,,,,
CAAN1,cohort 7,2,A13,,,,,
CAAN1,cohort 7,2,B10,,,,,NO PLANT
CAAN1,cohort 7,2,D04,,,,,NO PLANT
CAAN1,cohort 7,2,E01,,,,,NO PLANT
CAAN1,cohort 7,2,F04,,,,,NO PLANT
CAAN1,cohort 8,2,B04,,,,,NO PLANT
CAAN1,cohort 8,2,C13,,,,,NO PLANT
CAAN1,cohort 8,2,E07,,,,,NO PLANT
CAAN1,cohort 8,2,F12,,,,,NO PLANT
CAAN1,cohort 8,2,F14,,,,,NO PLANT
CAAN1,cohort 8,2,G01,,,,,NO PLANT
CACO1,blank,1,B14,,,,,
CAAN1,cohort 1,3,D04,0.0051,0.0044,,,
CAAN1,cohort 1,3,E01,0.0082,,,,
CAAN1,cohort 1,3,E05,0.0322,,,,
CAAN1,cohort 1,3,E09,0.0161,,,,
CAAN1,cohort 1,3,F04,0.0078,0.0107,,,
CAAN1,cohort 1,3,G03,0.0125,,,,
CAAN1,cohort 2,3,A11,0.0007,,,,
CAAN1,cohort 2,3,D02,,,,,NO PLANT
CAAN1,cohort 2,3,D08,,,,,NO PLANT
CAAN1,cohort 2,3,D14,,,,,NO PLANT
CAAN1,cohort 2,3,F06,0.0076,,,,
CAAN1,cohort 2,3,G13,0.0066,,,,
CAAN1,cohort 3,3,B04,,,,,NO PLANT
CAAN1,cohort 3,3,C09,0.0022,,,,
CAAN1,cohort 3,3,D10,0.0173,,,,
CAAN1,cohort 3,3,E03,0.0127,,,,
CAAN1,cohort 3,3,G05,0.0103,,,,
CAAN1,cohort 3,3,G09,,,,,NO PLANT
CAAN1,cohort 4,3,B02,0.0116,,,,
CAAN1,cohort 4,3,B12,0.016,,,,
CAAN1,cohort 4,3,D12,0.005,0.0355,,,
CAAN1,cohort 4,3,E07,0.0141,,,,
CAAN1,cohort 4,3,F08,0.0158,,,,
CAAN1,cohort 4,3,F10,0.0157,,,,
CAAN1,cohort 5,3,A13,0.0121,,,,
CAAN1,cohort 5,3,B06,0.0041,,,,
CAAN1,cohort 5,3,D06,0.0071,,,,
CAAN1,cohort 5,3,F02,0.0084,,,,
CAAN1,cohort 5,3,F12,,,,,NO PLANT
CAAN1,cohort 5,3,F14,,,,,NO PLANT
CAAN1,cohort 6,3,A03,0.0056,,,,
CAAN1,cohort 6,3,A07,0.0114,,,,
CAAN1,cohort 6,3,C07,,,,,
CAAN1,cohort 6,3,C11,0.0074,,,,
CAAN1,cohort 6,3,G07,,,,,NO PLANT
CAAN1,cohort 6,3,G11,,,,,NO PLANT
CAAN1,cohort 7,3,A01,,,,,
CAAN1,cohort 7,3,B08,,,,,
CAAN1,cohort 7,3,B10,,,,,NO PLANT
CAAN1,cohort 7,3,C05,,,,,NO PLANT
CAAN1,cohort 7,3,C13,,,,,NO PLANT
CAAN1,cohort 7,3,G01,,,,,NO PLANT
CAAN1,cohort 8,3,A05,0.0086,,,,
CAAN1,cohort 8,3,A09,,,,,NO PLANT
CAAN1,cohort 8,3,B14,,,,,NO PLANT
CAAN1,cohort 8,3,C01,,,,,NO PLANT
CAAN1,cohort 8,3,E11,,,,,NO PLANT
CAAN1,cohort 8,3,E13,,,,,NO PLANT
STBR3,blank,1,E07,,,,,
CAAN1,cohort 1,4,A09,0.0204,,,,
CAAN1,cohort 1,4,A11,0.0356,,,,
CAAN1,cohort 1,4,B14,0.0057,,,,
CAAN1,cohort 1,4,C07,0.0032,,,, 
CAAN1,cohort 1,4,D10,0.0155,,,,
CAAN1,cohort 1,4,E13,0.0046,,,,
CAAN1,cohort 2,4,A13,,,,,NO PLANT
CAAN1,cohort 2,4,B06,,,,,NO PLANT
CAAN1,cohort 2,4,D02,0.009,,,,
CAAN1,cohort 2,4,E07,0.0058,,,,
CAAN1,cohort 2,4,E09,0.0026,,,,
CAAN1,cohort 2,4,G03,,,,,NO PLANT
CAAN1,cohort 3,4,C03,0.0092,,,,
CAAN1,cohort 3,4,C05,0.0043,,,,
CAAN1,cohort 3,4,D06,,,,,
CAAN1,cohort 3,4,D08,0.0016,,,,
CAAN1,cohort 3,4,E11,,,,,NO PLANT
CAAN1,cohort 3,4,G09,,,,,NO PLANT
CAAN1,cohort 4,4,A01,0.0175,,,,
CAAN1,cohort 4,4,A05,0.0303,,,,
CAAN1,cohort 4,4,B10,0.0128,,,,
CAAN1,cohort 4,4,C11,0.0126,,,,
CAAN1,cohort 4,4,D12,0.0223,,,,
CAAN1,cohort 4,4,F04,0.0133,,,,
CAAN1,cohort 5,4,A03,0.0091,,,,
CAAN1,cohort 5,4,B12,0.0056,,,,
CAAN1,cohort 5,4,C09,0.0032,,,,
CAAN1,cohort 5,4,E03,0.005,,,,
CAAN1,cohort 5,4,E05,,,,,NO PLANT
CAAN1,cohort 5,4,F06,,,,,NO PLANT
CAAN1,cohort 6,4,A07,0.0078,,,,
CAAN1,cohort 6,4,B02,0.0141,,,,
CAAN1,cohort 6,4,C01,0.0134,,,,
CAAN1,cohort 6,4,D04,0.0058,,,,
CAAN1,cohort 6,4,E01,0.0022,,,,
CAAN1,cohort 6,4,G01,,,,,NO PLANT
CAAN1,cohort 7,4,C13,0.0033,,,,
CAAN1,cohort 7,4,D14,,,,,NO PLANT
CAAN1,cohort 7,4,G05,,,,,NO PLANT
CAAN1,cohort 7,4,G07,,,,,NO PLANT
CAAN1,cohort 7,4,G11,,,,,NO PLANT
CAAN1,cohort 7,4,G13,,,,,NO PLANT
CAAN1,cohort 8,4,B04,0.0053,,,,
CAAN1,cohort 8,4,F02,,,,,NO PLANT
CAAN1,cohort 8,4,F08,,,,,NO PLANT
CAAN1,cohort 8,4,F10,,,,,NO PLANT
CAAN1,cohort 8,4,F12,,,,,NO PLANT
CAAN1,cohort 8,4,F14,,,,,NO PLANT
STDI,blank,1,A03,,,,,
CAAN2,cohort 1,1,B02,0.0071,,,,
CAAN2,cohort 1,1,B04,0.0018,,,,
CAAN2,cohort 1,1,B10,,,,,might be bench 2 F02
CAAN2,cohort 1,1,C05,0.0228,,,,
CAAN2,cohort 1,1,C07,0.0019,,,,
CAAN2,cohort 1,1,E07,0.0053,,,,
CAAN2,cohort 2,1,A09,,,,,NO PLANT
CAAN2,cohort 2,1,B06,,,,,NO PLANT
CAAN2,cohort 2,1,C03,,,,,NO PLANT
CAAN2,cohort 2,1,D04,,,,,NO PLANT
CAAN2,cohort 2,1,D12,,,,,NO PLANT
CAAN2,cohort 2,1,G05,0.01,,,,
CAAN2,cohort 3,1,A07,0.0085,,,,
CAAN2,cohort 3,1,A11,0.0115,,,,
CAAN2,cohort 3,1,B08,,,,,
CAAN2,cohort 3,1,E05,,,,,NO PLANT
CAAN2,cohort 3,1,E11,,,,,NO PLANT
CAAN2,cohort 3,1,G03,,,,,NO PLANT
CAAN2,cohort 4,1,A03,0.0198,,,,
CAAN2,cohort 4,1,C09,0.0143,,,,
CAAN2,cohort 4,1,C11,,,,,NO PLANT
CAAN2,cohort 4,1,D10,0.0212,,,,
CAAN2,cohort 4,1,E01,,,,,NO PLANT
CAAN2,cohort 4,1,E09,,,,,NO PLANT
CAAN2,cohort 5,1,A13,0.0085,,,,
CAAN2,cohort 5,1,B12,0.003,,,,
CAAN2,cohort 5,1,D14,0.0165,,,,
CAAN2,cohort 5,1,E13,0.0258,,,,
CAAN2,cohort 5,1,F14,0.0062,,,,
CAAN2,cohort 5,1,G09,,,,,NO PLANT
CAAN2,cohort 6,1,A01,0.0081,,,,
CAAN2,cohort 6,1,B14,,,,,NO PLANT
CAAN2,cohort 6,1,C01,,,,,NO PLANT
CAAN2,cohort 6,1,D06,,,,,NO PLANT
CAAN2,cohort 6,1,E03,,,,,NO PLANT
CAAN2,cohort 6,1,F08,,,,,NO PLANT
CAAN2,cohort 7,1,A05,,,,,
CAAN2,cohort 7,1,D02,,,,,
CAAN2,cohort 7,1,F02,,,,,
CAAN2,cohort 7,1,F10,,,,,NO PLANT
CAAN2,cohort 7,1,F12,,,,,NO PLANT
CAAN2,cohort 7,1,G01,,,,,NO PLANT
CAAN2,cohort 8,1,C13,,,,,No plant
CAAN2,cohort 8,1,D08,,,,,
CAAN2,cohort 8,1,F04,,,,,NO PLANT
CAAN2,cohort 8,1,F06,,,,,NO PLANT
CAAN2,cohort 8,1,G07,,,,,NO PLANT
CAAN2,cohort 8,1,G13,,,,,NO PLANT
STTO_BH,blank,1,E01,,,,,
CAAN2,cohort 1,2,A05,0.0628,,,,
CAAN2,cohort 1,2,B12,0.0038,,,,
CAAN2,cohort 1,2,E07,0.0309,,,,
CAAN2,cohort 1,2,F02,0.0012,,,,might be bench 1 B10
CAAN2,cohort 1,2,F10,0.0113,,,,
CAAN2,cohort 1,2,G13,0.0083,,,,
CAAN2,cohort 2,2,B06,,,,,NO PLANT
CAAN2,cohort 2,2,C03,,,,,NO PLANT
CAAN2,cohort 2,2,C07,,,,,NO PLANT
CAAN2,cohort 2,2,D02,,,,,NO PLANT
CAAN2,cohort 2,2,D10,0.0052,,,,
CAAN2,cohort 2,2,D14,,,,,NO PLANT
CAAN2,cohort 3,2,A01,0.0046,,,,
CAAN2,cohort 3,2,B10,,,,,
CAAN2,cohort 3,2,D12,,,,,NO PLANT
CAAN2,cohort 3,2,E03,,,,,NO PLANT
CAAN2,cohort 3,2,F08,,,,,NO PLANT
CAAN2,cohort 3,2,G07,,,,,NO PLANT
CAAN2,cohort 4,2,A07,0.0168,,,,
CAAN2,cohort 4,2,B14,,,,,NO PLANT
CAAN2,cohort 4,2,E13,,,,,NO PLANT
