sp,Pop,days.2.bud,days.2.flower,sept.1.bud,sept.1.flower,days.2.bud.se,days.2.flower.se,sept.1.bud.se,sept.1.flower.se,days.2.bud.CAAN1.CAIN3,days.2.bud.CAAN1.CAIN3.se,days.2.bud.CAAN1.CAIN4,days.2.bud.CAAN1.CAIN4.se,days.2.bud.CAAN2.CAIN3,days.2.bud.CAAN2.CAIN3.se,days.2.bud.CAAN2.CAIN4,days.2.bud.CAAN2.CAIN4.se,days.2.flower.CAAN1.CAIN3,days.2.flower.CAAN1.CAIN3.se,days.2.flower.CAAN1.CAIN4,days.2.flower.CAAN1.CAIN4.se,days.2.flower.CAAN2.CAIN3,days.2.flower.CAAN2.CAIN3.se,days.2.flower.CAAN2.CAIN4,days.2.flower.CAAN2.CAIN4.se,sept.1.bud.CAAN1.CAIN3,sept.1.bud.CAAN1.CAIN3.se,sept.1.bud.CAAN1.CAIN4,sept.1.bud.CAAN1.CAIN4.se,sept.1.bud.CAAN2.CAIN3,sept.1.bud.CAAN2.CAIN3.se,sept.1.bud.CAAN2.CAIN4,sept.1.bud.CAAN2.CAIN4.se,sept.1.flower.CAAN1.CAIN3,sept.1.flower.CAAN1.CAIN3.se,sept.1.flower.CAAN1.CAIN4,sept.1.flower.CAAN1.CAIN4.se,sept.1.flower.CAAN2.CAIN3,sept.1.flower.CAAN2.CAIN3.se,sept.1.flower.CAAN2.CAIN4,sept.1.flower.CAAN2.CAIN4.se,days.2.bud.final,days.2.bud.final.se,sept.1.bud.final,sept.1.bud.final.se
Caulanthus_inflatus,CAIN,-0.42594017,-0.540726911,0.57405983,0.459273089,0.033989181,0.040215493,0.033989181,0.040215493,-0.430465428,0.04464508,-0.415456989,0.049122201,-0.434461875,0.042785801,-0.423478525,0.04696812,-0.552759165,0.050428808,-0.510680406,0.056975419,-0.558687848,0.0488075,-0.525019608,0.054811081,0.569534572,0.04464508,0.584543011,0.049122201,0.565538125,0.042785801,0.576521475,0.04696812,0.447240835,0.050428808,0.489319594,0.056975419,0.441312152,0.0488075,0.474980392,0.054811081,-0.424550991,0.033664678,0.575449009,0.033664678
Caulanthus_coulteri,CACO1,-0.49039925,-0.567666825,0.50960075,0.432333175,0.03840359,0.041018337,0.03840359,0.041018337,-0.490286643,0.037612357,-0.490359514,0.037361735,-0.490723509,0.036040833,-0.490782573,0.035717093,-0.567294809,0.039362383,-0.567189443,0.037900982,-0.568201014,0.038092131,-0.568030683,0.036451692,0.509713357,0.037612357,0.509640486,0.037361735,0.509276491,0.036040833,0.509217427,0.035717093,0.432705191,0.039362383,0.432810557,0.037900982,0.431798986,0.038092131,0.431969317,0.036451692,-0.490411839,0.038373824,0.509588161,0.038373824
Caulanthus_anceps,CAAN,-0.492167267,-0.60095759,0.507832733,0.39904241,0.031377168,0.031948296,0.031377168,0.031948296,-0.523783852,0.038664771,-0.526610063,0.038411118,-0.433901077,0.048349616,-0.437245966,0.047926387,-0.606296083,0.037917281,-0.607899464,0.03651196,-0.586005153,0.050211591,-0.588424267,0.048051184,0.476216148,0.038664771,0.473389937,0.038411118,0.566098923,0.048349616,0.562754034,0.047926387,0.393703917,0.037917281,0.392100536,0.03651196,0.413994847,0.050211591,0.411575733,0.048051184,-0.493695223,0.031247387,0.506304777,0.031247387
Streptanthus_glandulosus,STGL1,-0.561671274,-0.609139213,0.438328726,0.390860787,0.056029082,0.059760056,0.056029082,0.059760056,-0.5708666,0.054997727,-0.560898745,0.054721327,-0.561513067,0.052717066,-0.550769258,0.052332559,-0.61885182,0.057431377,-0.613454746,0.055371223,-0.606424271,0.055588515,-0.599779799,0.0532656,0.4291334,0.054997727,0.439101255,0.054721327,0.438486933,0.052717066,0.449230742,0.052332559,0.38114818,0.057431377,0.386545254,0.055371223,0.393575729,0.055588515,0.400220201,0.0532656,-0.561940464,0.055978876,0.438059536,0.055978876
Streptanthus_insignis,STIN,-0.299893324,-0.360485386,0.700106676,0.639514614,0.021896559,0.022863808,0.021896559,0.022863808,-0.300283034,0.021445475,-0.299966734,0.021302661,-0.299682163,0.020549369,-0.299341068,0.020364855,-0.361420695,0.021939011,-0.361167379,0.021124222,-0.360041169,0.021230149,-0.359703143,0.020315567,0.699716966,0.021445475,0.700033266,0.021302661,0.700317837,0.020549369,0.700658932,0.020364855,0.638579305,0.021939011,0.638832621,0.021124222,0.639958831,0.021230149,0.640296857,0.020315567,-0.299900914,0.021879572,0.700099086,0.021879572
Streptanthus_polygaloides,STPO,-0.499992568,-0.605948513,0.500007432,0.394051487,0.051186473,0.060070561,0.051186473,0.060070561,-0.499609246,0.050139862,-0.499053347,0.049807126,-0.497628298,0.048048252,-0.497058244,0.047618087,-0.60733948,0.057650799,-0.606463659,0.055507951,-0.604915821,0.055793341,-0.603979915,0.053388064,0.500390754,0.050139862,0.500946653,0.049807126,0.502371702,0.048048252,0.502941756,0.047618087,0.39266052,0.057650799,0.393536341,0.055507951,0.395084179,0.055793341,0.396020085,0.053388064,-0.499964228,0.051146791,0.500035772,0.051146791
Streptanthus_diversifolius,STDI,-0.604063703,-0.644395878,0.395936297,0.355604122,0.041775276,0.042852782,0.041775276,0.042852782,-0.596308437,0.041028126,-0.603914346,0.040828903,-0.60413072,0.039330085,-0.612329024,0.039050053,-0.635864517,0.04122324,-0.6401615,0.039779406,-0.64666926,0.039905612,-0.652064215,0.038272846,0.403691563,0.041028126,0.396085654,0.040828903,0.39586928,0.039330085,0.387670976,0.039050053,0.364135483,0.04122324,0.3598385,0.039779406,0.35333074,0.039905612,0.347935785,0.038272846,-0.603852896,0.041737272,0.396147104,0.041737272
Streptanthus_tortuosus,STTO_TM2,-0.943792096,-0.968760765,0.056207904,0.031239235,0.106844117,0.121392726,0.106844117,0.121392726,-0.940206707,0.10466781,-0.941808611,0.103980482,-0.938860892,0.100302952,-0.94064673,0.099412271,-0.964534005,0.11650744,-0.963602565,0.112184729,-0.970212621,0.112753179,-0.969751556,0.107900176,0.059793293,0.10466781,0.058191389,0.103980482,0.061139108,0.100302952,0.05935327,0.099412271,0.035465995,0.11650744,0.036397435,0.112184729,0.029787379,0.112753179,0.030248444,0.107900176,-0.943657456,0.106760863,0.056342544,0.106760863
Streptanthus_breweri,STBR3,-0.622549428,-0.687502338,0.377450572,0.312497662,0.044318456,0.052634213,0.044318456,0.052634213,-0.622952602,0.043410606,-0.622533174,0.04312233,-0.621493605,0.041598553,-0.621090621,0.041225921,-0.687258696,0.050507585,-0.686680136,0.048631057,-0.687701025,0.048877208,-0.687184422,0.046770945,0.377047398,0.043410606,0.377466826,0.04312233,0.378506395,0.041598553,0.378909379,0.041225921,0.312741304,0.050507585,0.313319864,0.048631057,0.312298975,0.048877208,0.312815578,0.046770945,-0.622521507,0.044284091,0.377478493,0.044284091
Streptanthus_drepanoides,STDR2,-0.694580969,-0.745492152,0.305419031,0.254507848,0.0462425,0.045805207,0.0462425,0.045805207,-0.698703443,0.045318339,-0.695023984,0.045040647,-0.692876523,0.043430346,-0.688841784,0.043064375,-0.751200932,0.043982893,-0.748673031,0.042376668,-0.743516772,0.042567242,-0.740312879,0.040760505,0.301296557,0.045318339,0.304976016,0.045040647,0.307123477,0.043430346,0.311158216,0.043064375,0.248799068,0.043982893,0.251326969,0.042376668,0.256483228,0.042567242,0.259687121,0.040760505,-0.694714634,0.046204739,0.305285366,0.046204739